,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted
TF-IDF + Regressão Logística (Baseline),0.8915,0.8309406216401656,0.8965885611317984,0.8557615982043641,0.8944317065382446
DistilBERT fine-tuned (Transformer),0.927,0.8722990321569314,0.9131766393671138,0.8900647323102499,0.9284734542891694
RoBERTa fine-tuned (Experimento Opcional),0.924,0.8673871805685982,0.9274592599784066,0.8908224683453213,0.925921866765987
